commodity_code,goods_and_use_description,parent_and_commodity_description,usage_statements,commodity_description,standardised_commodity_code
0102294920,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102294920
0102294930,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the Schwyz and Fribourg breeds
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the Schwyz and Fribourg breeds
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102294930
0102294940,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the spotted Simmental breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Heifers and cows of the spotted Simmental breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102294940
0102294950,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102294950
0102295911,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295911
0102295919,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
Other
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
Other
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295919
0102295921,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the Schwyz and Fribourg breeds
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the Schwyz and Fribourg breeds
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295921
0102295929,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the Schwyz and Fribourg breeds
Other
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the Schwyz and Fribourg breeds
Other
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295929
0102295931,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the spotted Simmental breed
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the spotted Simmental breed
Not yet having any permanent teeth, of a weight of not less than 320kg but not more than 470kg
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295931
0102295939,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the spotted Simmental breed
Other
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Heifers (female bovines that have never calved)
Other
Of the spotted Simmental breed
Other
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102295939
0102296910,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102296910
0102296920,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Of the Schwyz and Fribourg breeds
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Of the Schwyz and Fribourg breeds
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102296920
0102296930,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Of the spotted Simmental breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Cows
Other
Of the spotted Simmental breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102296930
0102299921,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Other
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Other
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102299921
0102299929,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Other
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
Other
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 300kg
Other
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
Other
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102299929
0202 20 30 81,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202203081
0202 20 30 82,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202203082
0202 20 30 83,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202203083
0202 20 30 84,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202203084
0202 30 10 81,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202301081
0202 30 10 82,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202301082
0202 30 10 83,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202301083
0202 30 10 84,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202301084
0202 30 50 81,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202305081
0202 30 50 82,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202305082
0202 30 50 83,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202305083
0202 30 50 84,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202305084
0202 30 90 41,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309041
0202 30 90 42,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309042
0202 30 90 43,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309043
0202 30 90 44,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309044
0202 30 90 70,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309070
0202 30 90 75,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0202309075
0206 29 91 33,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299133
0206 29 91 35,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299135
0206 29 91 37,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299137
0206 29 91 38,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299138
0206 29 91 51,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299151
0206 29 91 59,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299159
0206 29 91 61,"Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products","Meat of bovine animals, frozen, edible offal of bovine animals, frozen
For the manufacture of processed beef products",empty_cell,For the manufacture of processed beef products,0206299161
0206101000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Of bovine animals, fresh or chilled
For the manufacture of pharmaceutical products","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Of bovine animals, fresh or chilled
For the manufacture of pharmaceutical products",empty_cell,For the manufacture of pharmaceutical products,0206101000
0206291000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Of bovine animals, frozen
Other
For the manufacture of pharmaceutical products","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Of bovine animals, frozen
Other
For the manufacture of pharmaceutical products",empty_cell,For the manufacture of pharmaceutical products,0206291000
0206801000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, fresh or chilled
For the manufacture of pharmaceutical products","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, fresh or chilled
For the manufacture of pharmaceutical products",empty_cell,For the manufacture of pharmaceutical products,0206801000
0206901000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, frozen
For the manufacture of pharmaceutical products","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, frozen
For the manufacture of pharmaceutical products",empty_cell,For the manufacture of pharmaceutical products,0206901000
0302311000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to0302 99
Albacore or longfinned tuna (Thunnus alalunga)
For the industrial manufacture of products of heading1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to0302 99
Albacore or longfinned tuna (Thunnus alalunga)
For the industrial manufacture of products of heading1604",empty_cell,For the industrial manufacture of products of heading1604,0302311000
0302321000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Yellowfin tuna (Thunnus albacares)
For the industrial manufacture of products of heading1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Yellowfin tuna (Thunnus albacares)
For the industrial manufacture of products of heading1604",empty_cell,For the industrial manufacture of products of heading1604,0302321000
0302331000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Skipjack or stripe-bellied bonito
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Skipjack or stripe-bellied bonito
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302331000
0302341000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Bigeye tuna (Thunnus obesus)
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Bigeye tuna (Thunnus obesus)
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302341000
0302351100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Atlantic bluefin tuna (Thunnus thynnus)
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Atlantic bluefin tuna (Thunnus thynnus)
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302351100
0302359100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Pacific bluefin tuna (Thunnus orientalis)
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Pacific bluefin tuna (Thunnus orientalis)
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302359100
0302361000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Southern bluefin tuna (Thunnus maccoyii)
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Southern bluefin tuna (Thunnus maccoyii)
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302361000
0302392000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302392000
0302491100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
Kawakawa (Euthynnus affinis)
For the industrial manufacture of products of heading 1604","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
Kawakawa (Euthynnus affinis)
For the industrial manufacture of products of heading 1604",empty_cell,For the industrial manufacture of products of heading 1604,0302491100
0302511020,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99
Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)
Of the species Gadus morhua
For processing (except retail and catering)
Subject to one or more of the following processing operations: dicing, filleting, production of flaps, cutting of frozen blocks, splitting of interleaved fillet blocks
For human consumption","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99
Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)
Of the species Gadus morhua
For processing (except retail and catering)
Subject to one or more of the following processing operations: dicing, filleting, production of flaps, cutting of frozen blocks, splitting of interleaved fillet blocks
For human consumption",empty_cell,For human consumption,0302511020
0302519010,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99
Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)
Other
For industrial manufacture
Subject to one or more of the following processing operations: dicing, filleting, production of flaps, cutting of frozen blocks, splitting of interleaved fillet blocks
For human consumption","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99
Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)
Other
For industrial manufacture
Subject to one or more of the following processing operations: dicing, filleting, production of flaps, cutting of frozen blocks, splitting of interleaved fillet blocks
For human consumption",empty_cell,For human consumption,0302519010
