commodity_code,commodity_description,duty_expression,standardised_commodity_code
0303431000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Skipjack or stripe-bellied bonito
For the industrial manufacture of products of heading 1604",0.0%,0303431000
0303441000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Bigeye tuna (Thunnus obesus)
For the industrial manufacture of products of heading 1604",0.0%,0303441000
0303451200,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Atlantic bluefin tuna (Thunnus thynnus)
For the industrial manufacture of products of heading 1604",0.0%,0303451200
0303459100,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Pacific bluefin tuna (Thunnus orientalis)
For the industrial manufacture of products of heading 1604",0.0%,0303459100
0303461000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Southern bluefin tuna (Thunnus maccoyii)
For the industrial manufacture of products of heading 1604",0.0%,0303461000
0303492000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Other
For the industrial manufacture of products of heading 1604",0.0%,0303492000
0303592100,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303 91 to 0303 99
Other
Kawakawa (Euthynnus affinis)
For the industrial manufacture of products of heading 1604",0.0%,0303592100
0303892100,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Other fish, excluding edible fish offal of subheadings 0303 91 to 0303 99
Other
Other
Fish of the genus Euthynnus, other than the skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis) mentioned in subheading 0303 43 and other than Kawakawa (Euthynnus affinis) mentioned in subheading 0303 59
For the industrial manufacture of products of heading 1604",0.0%,0303892100
0303911000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal
Livers, roes and milt
Hard and soft roes for the manufacture of deoxyribonucleic acid or protamine sulphate",0.0%,0303911000
0701901000,"Potatoes, fresh or chilled
-	Other
-	-	For the manufacture of starch",0.0%,0701901000
0709609100,"Other vegetables, fresh or chilled
Fruits of the genus Capsicum or of the genus Pimenta
Other
Of the genus Capsicum, for the manufacture of capsicin or capsicum oleoresin dyes",0.0%,0709609100
0709609500,"Other vegetables, fresh or chilled
Fruits of the genus Capsicum or of the genus Pimenta
Other
For the industrial manufacture of essential oils or resinoids",0.0%,0709609500
0709921000,"Other vegetables, fresh or chilled
-	Other
-	-	Olives
-	-	-	For uses other than the production of oil",0.0%,0709921000
1005900020,"Maize (corn)
-	Other
-	-	Flint maize of specific weight equal to or more than 75.5 kg/hl, with a vitreous grain content equal to or more than 92% by weight and with a maximum flotation index 26 and intended for processing",0.0%,1005900020
1501101000,"Pig fat (including lard) and poultry fat, other than that of heading 0209 or 1503
Lard
For industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1501101000
1501201000,"Pig fat (including lard) and poultry fat, other than that of heading 0209 or 1503
Other pig fat
For industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1501201000
1502101000,"Fats of bovine animals, sheep or goats, other than those of heading 1503
Tallow
For industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1502101000
1507000000,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1507000000
1507101000,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified
-	Crude oil, whether or not degummed
-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1507101000
1507901000,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1507901000
1508000000,"Groundnut oil and its fractions, whether or not refined, but not chemically modified
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1508000000
1509000000,"Olive oil and its fractions, whether or not refined, but not chemically modified
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1509000000
1510000000,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1510000000
1511100000,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Crude oil
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,1511100000
1511101000,"Palm oil and its fractions, whether or not refined, but not chemically modified
Crude oil
For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1511101000
1511901100,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	Solid fractions
-	-	-	In immediate packings of a net content not exceeding 1 kg
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,1511901100
1511901990,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	Solid fractions
-	-	-	Other
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1511901990
1511909100,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1511909100
1511909190,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1511909190
1511909900,"Palm oil and its fractions, whether or not refined, but not chemically modified
-	Other
-	-	Other
-	-	-	Other
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,1511909900
1512000000,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1512000000
1512111000,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified
-	Sunflower-seed or safflower oil and fractions thereof
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1512111000
1512191000,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified
-	Sunflower-seed or safflower oil and fractions thereof
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1512191000
1512211000,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified
-	Cotton-seed oil and its fractions
-	-	Crude oil, whether or not gossypol has been removed
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1512211000
1512291000,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified
-	Cotton-seed oil and its fractions
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1512291000
1513111000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1513111000
1513111090,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513111090
1513119100,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Crude oil
-	-	-	Other
-	-	-	-	In immediate packings of a net content not exceeding 1 kg
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513119100
1513119900,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Crude oil
-	-	-	Other
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513119900
1513191100,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Solid fractions
-	-	-	-	In immediate packings of a net content not exceeding 1 kg
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513191100
1513191900,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Solid fractions
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513191900
1513193000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Other
-	-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1513193000
1513193090,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Other
-	-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513193090
1513199100,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Other
-	-	-	-	Other
-	-	-	-	-	In immediate packings of a net content not exceeding 1 kg
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513199100
1513199900,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Coconut (copra) oil and its fractions
-	-	Other
-	-	-	Other
-	-	-	-	Other
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513199900
1513211000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1513211000
1513211090,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513211090
1513213000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Crude oil
-	-	-	Other
-	-	-	-	In immediate packings of a net content not exceeding 1 kg
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513213000
1513219000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Crude oil
-	-	-	Other
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513219000
1513291100,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Solid fractions
-	-	-	-	In immediate packings of a net content not exceeding 1 kg
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513291100
1513291900,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Solid fractions
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,1513291900
1513293000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Other
-	-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1513293000
1513293090,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Other
-	-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513293090
1513295000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Other
-	-	-	-	Other
-	-	-	-	-	In immediate packings of a net content not exceeding 1 kg
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513295000
1513299000,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified
-	Palm kernel or babassu oil and fractions thereof
-	-	Other
-	-	-	Other
-	-	-	-	Other
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,1513299000
